,epoch,time,train_auc,test_auc
0,0,0.13175106048583984,0.6162938493579306,0.7553872335834327
1,100,4.93436336517334,0.8266778481420167,0.8244159488936855
2,200,9.702499151229858,0.8472614388148926,0.8451938326829413
3,300,14.489618062973022,0.858863041088891,0.8571661145496884
4,400,19.365653038024902,0.8665797655589305,0.8653082665325109
5,500,24.465359210968018,0.8718254577527716,0.8709264984994254
6,600,29.89930820465088,0.87540397871284,0.8748206325518804
7,700,34.86898732185364,0.8780826290030539,0.8777290689536709
8,800,40.88192915916443,0.8802350694569125,0.8800508039621946
9,900,45.918087005615234,0.8820368254536254,0.8819898208071467
10,1000,50.94876408576965,0.8835889006999553,0.8836261299265803
11,1100,55.73907208442688,0.8849344258810526,0.8850436309370349
12,1200,61.1053261756897,0.8861299584294486,0.8862824179231746
13,1300,66.93488001823425,0.8871880996248662,0.8873938761330107
14,1400,71.71486806869507,0.8881402688300524,0.8883883453448311
15,1500,76.80289697647095,0.8889952727530874,0.8892710738586359
16,1600,81.57754230499268,0.8897717669630509,0.890070937779208
17,1700,86.53476119041443,0.8904749209511534,0.890784560212324
18,1800,91.86635327339172,0.8911098242414262,0.89143060294185
19,1900,97.18527412414551,0.8916884770699529,0.8920107178231641
20,2000,102.35020804405212,0.8922089524856688,0.8925286476678206
21,2100,107.6371431350708,0.8926808026971331,0.892999949189765
22,2200,113.45106315612793,0.893115424317204,0.8934360181001532
23,2300,118.48776412010193,0.8935106169586553,0.8938302678870323
24,2400,123.74999403953552,0.89387070916752,0.8941795830257014
25,2500,129.2704153060913,0.8941933328834535,0.8945047476205441
26,2600,134.73035407066345,0.8944900859270559,0.8948016424878951
27,2700,140.15348625183105,0.8947655006316891,0.8950721076691881
28,2800,145.26783227920532,0.8950153774306411,0.8953213287357389
29,2900,150.15354132652283,0.8952486468521412,0.8955534875998982
30,3000,155.19767022132874,0.8954636863363228,0.8957753798692358
31,3100,160.63142919540405,0.8956645226176075,0.8959617467931529
32,3200,166.13788223266602,0.8958490868676763,0.8961351288792202
33,3300,173.03618717193604,0.8960215863920006,0.8963001366858051
34,3400,178.8715362548828,0.896183594738304,0.8964513023625087
